Date	GBP/CHF			
22 Jan 07	24.674			
23 Jan 07	24.625			
24 Jan 07	24.535			
25 Jan 07	24.534			
26 Jan 07	24.564			
29 Jan 07	24.562			
30 Jan 07	24.576			
31 Jan 07	24.426			
01/02/2007	24.491			
02/02/2007	24.532			
05/02/2007	24.468			
06/02/2007	24.499			
07/02/2007	24.419			
08/02/2007	24.395			
09/02/2007	24.353			
12/02/2007	24.397			
13/02/2007	2.428			
14/02/2007	24.326			
15/02/2007	24.144			
16/02/2007	24.096			
19/02/2007	24.026			
20/02/2007	24.184			
21/02/2007	24.183			
22/02/2007	2.425			
23/02/2007	24.193			
26/02/2007	2.417			
27/02/2007	24.004			
28/02/2007	23.934			
01/03/2007	23.938			
02/03/2007	23.717			
05/03/2007	23.532			
06/03/2007	23.549			
07/03/2007	23.571			
08/03/2007	23.721			
09/03/2007	23.816			
12/03/2007	23.628			
13/03/2007	2.361			
14/03/2007	23.475			
15/03/2007	23.515			
16/03/2007	23.456			
19/03/2007	23.596			
20/03/2007	23.765			
21/03/2007	23.812			
22/03/2007	23.834			
23/03/2007	23.892			
26/03/2007	2.39			
27/03/2007	23.839			
28/03/2007	23.764			
29/03/2007	23.901			
30/03/2007	23.946			
02/04/2007	24.001			
03/04/2007	24.096			
04/04/2007	24.082			
05/04/2007	23.922			
10/04/2007	23.986			
11/04/2007	24.109			
12/04/2007	24.045			
13/04/2007	24.109			
16/04/2007	24.138			
17/04/2007	24.256			
18/04/2007	24.167			
19/04/2007	24.103			
20/04/2007	24.212			
23/04/2007	24.216			
24/04/2007	2.409			
25/04/2007	24.109			
26/04/2007	24.058			
27/04/2007	2.411			
30/04/2007	24.132			
01 May 07	24.276			
02 May 07	24.159			
03 May 07	24.145			
04 May 07	24.126			
08 May 07	24.249			
09 May 07	24.284			
10 May 07	24.196			
11 May 07	24.147			
14 May 07	24.158			
15 May 07	24.106			
16 May 07	24.156			
17 May 07	24.224			
18 May 07	24.227			
21 May 07	2.423			
22 May 07	24.291			
23 May 07	24.375			
24 May 07	24.396			
25 May 07	24.353			
29 May 07	24.245			
30 May 07	24.193			
31 May 07	24.245			
01 Jun 07	24.361			
04 Jun 07	2.437			
05 Jun 07	24.313			
06 Jun 07	24.251			
07 Jun 07	24.245			
08 Jun 07	24.277			
11 Jun 07	24.389			
12 Jun 07	24.517			
13 Jun 07	24.538			
14 Jun 07	24.523			
15 Jun 07	24.567			
18 Jun 07	2.459			
19 Jun 07	24.654			
20 Jun 07	2.466			
21 Jun 07	24.719			
22 Jun 07	24.622			
25 Jun 07	2.456			
26 Jun 07	24.557			
27 Jun 07	24.533			
28 Jun 07	24.606			
29 Jun 07	24.596			
02 Jul 07	24.391			
03 Jul 07	24.513			
04 Jul 07	24.518			
05 Jul 07	24.485			
06 Jul 07	24.516			
09 Jul 07	24.516			
10 Jul 07	24.437			
11 Jul 07	24.444			
12 Jul 07	24.426			
13 Jul 07	2.446			
16 Jul 07	24.504			
17 Jul 07	24.578			
18 Jul 07	24.608			
19 Jul 07	24.615			
20 Jul 07	24.664			
23 Jul 07	24.819			
24 Jul 07	24.828			
25 Jul 07	24.893			
26 Jul 07	24.737			
27 Jul 07	24.552			
30 Jul 07	24.327			
31 Jul 07	24.453			
01 Aug 07	24.374			
02 Aug 07	24.513			
03 Aug 07	24.365			
06 Aug 07	24.086			
07 Aug 07	24.105			
08 Aug 07	24.333			
09 Aug 07	2.428			
10 Aug 07	24.152			
13 Aug 07	24.262			
14 Aug 07	24.172			
15 Aug 07	24.242			
16 Aug 07	24.142			
17 Aug 07	23.903			
20 Aug 07	23.965			
21 Aug 07	23.866			
22 Aug 07	24.043			
23 Aug 07	24.215			
24 Aug 07	24.123			
28 Aug 07	2.411			
29 Aug 07	24.167			
30 Aug 07	24.267			
31 Aug 07	24.375			
03 Sep 07	2.44			
04 Sep 07	24.382			
05 Sep 07	24.356			
06 Sep 07	24.283			
07 Sep 07	24.088			
10 Sep 07	24.066			
11 Sep 07	24.066			
12 Sep 07	24.058			
13 Sep 07	24.092			
14 Sep 07	23.931			
17 Sep 07	23.768			
18 Sep 07	2.375			
19 Sep 07	2.371			
20 Sep 07	23.585			
21 Sep 07	23.683			
24 Sep 07	23.727			
25 Sep 07	23.554			
26 Sep 07	23.597			
27 Sep 07	23.738			
28 Sep 07	23.801			
01 Oct 07	2.383			
02 Oct 07	23.986			
03 Oct 07	23.992			
04 Oct 07	23.995			
05 Oct 07	24.037			
08 Oct 07	24.135			
09 Oct 07	24.064			
10 Oct 07	24.112			
11 Oct 07	24.026			
12 Oct 07	24.099			
15 Oct 07	24.098			
16 Oct 07	24.048			
17 Oct 07	24.086			
18 Oct 07	23.953			
19 Oct 07	23.981			
22 Oct 07	23.863			
23 Oct 07	24.042			
24 Oct 07	24.011			
25 Oct 07	2.394			
26 Oct 07	2.387			
29 Oct 07	2.402			
30 Oct 07	24.011			
31 Oct 07	24.077			
01/11/2007	24.139			
02/11/2007	24.035			
05/11/2007	23.998			
06/11/2007	23.905			
07/11/2007	2.387			
08/11/2007	23.779			
09/11/2007	23.487			
12/11/2007	23.209			
13/11/2007	23.302			
14/11/2007	23.153			
15/11/2007	22.997			
16/11/2007	22.875			
19/11/2007	22.924			
20/11/2007	22.925			
21/11/2007	22.699			
22/11/2007	22.693			
23/11/2007	22.655			
26/11/2007	22.814			
27/11/2007	22.799			
28/11/2007	23.133			
29/11/2007	23.032			
30/11/2007	23.211			
03 Dec 07	23.329			
04 Dec 07	23.022			
05 Dec 07	22.817			
06 Dec 07	22.857			
07 Dec 07	22.927			
10 Dec 07	23.075			
11 Dec 07	23.104			
12 Dec 07	2.325			
13 Dec 07	23.273			
14 Dec 07	23.286			
17 Dec 07	2.324			
18 Dec 07	23.253			
19 Dec 07	23.137			
20 Dec 07	2.291			
21 Dec 07	22.944			
24 Dec 07	22.873			
27 Dec 07	22.737			
28 Dec 07	22.506			
31 Dec 07	22.543			
02 Jan 08	22.129			
03 Jan 08	21.973			
04 Jan 08	21.855			
07 Jan 08	21.991			
08 Jan 08	22.006			
09 Jan 08	21.829			
10 Jan 08	21.679			
11 Jan 08	2.158			
14 Jan 08	21.413			
15 Jan 08	21.486			
16 Jan 08	21.563			
17 Jan 08	21.754			
18 Jan 08	21.523			
21 Jan 08	21.483			
